,model,scientificName,height,x_meters,y_meters
358,Browning,Axis axis,7.4,-2.32555124,0.171082052
359,Browning,Macaca mulatta,7.4,-0.227296391,-0.027856686
360,Browning,Semnopithecus schistaceus,7.4,-0.80445377,-0.282027478
361,Browning,Axis axis,7.4,-2.419754768,-0.260587298
362,Browning,Axis porcinus,7.1,-2.315258028,0.078085991
363,Browning,Axis axis,7.1,2.160671322,0.150716352
364,Browning,Sus scrofa,7.1,-3.272986932,-0.281098367
365,Browning,Axis axis,7.7,-0.454629757,1.590039979
366,Browning,Macaca mulatta,7.7,-2.460403681,-0.166916669
367,Browning,Axis axis,7.7,-1.556983453,1.276059363
368,Browning,Elephas maximus,7.7,3.952617799,-0.686910349
369,Browning,Semnopithecus schistaceus,7.7,-1.947673184,1.530126542
370,Browning,Semnopithecus schistaceus,7.7,-1.3172872,-0.488337072
371,Browning,Semnopithecus schistaceus,7.7,-2.511406562,1.511910736
372,Browning,Semnopithecus schistaceus,7.7,-2.340872726,-1.013492061
373,Browning,Semnopithecus schistaceus,7.7,-2.832000456,-0.769825491
374,Browning,Semnopithecus schistaceus,7.7,-3.815935525,1.459883315
375,Browning,Panthera tigris,7.7,-1.103762962,-0.139091327
376,Browning,Macaca mulatta,7.7,-3.258974717,0.873863236
377,Browning,Semnopithecus schistaceus,7.7,-3.93182135,0.977690562
378,Browning,Muntiacus muntjak,7.7,-1.186362214,-0.013613694
379,Browning,Axis axis,7.7,-0.534443551,-0.808418639
380,Browning,Axis axis,7.7,-2.704528963,-0.826279424
381,Browning,Axis axis,7.7,-1.338965164,-0.064839189
382,Browning,Sus scrofa,7.7,-1.263681742,-0.345097801
383,Browning,Sus scrofa,7.4,-1.253124057,-0.308446431
384,Browning,Semnopithecus schistaceus,7.4,-3.667816326,1.391099018
385,Browning,Axis axis,7.55,-1.548409703,0.447790528
386,Browning,Semnopithecus schistaceus,7.55,-1.773547605,1.199351171
387,Browning,Axis axis,7.55,-2.018467669,0.592271059
388,Browning,Axis axis,7.55,-1.005627978,0.244191343
389,Browning,Rusa unicolor,7.5,-2.383319027,-0.100938265
390,Browning,Semnopithecus schistaceus,7.5,-1.293832129,-0.274616959
391,Browning,Semnopithecus schistaceus,7.5,-0.064600648,1.058030901
392,Browning,Sus scrofa,7.5,-3.583149545,0.214148792
393,Browning,Semnopithecus schistaceus,7.5,-1.447837341,0.895273622
394,Browning,Rusa unicolor,7.5,-2.751792692,0.714407718
395,Browning,Macaca mulatta,7.1,-2.198267836,1.368303155
396,Browning,Semnopithecus schistaceus,7.1,-3.239178483,-0.585880884
397,Browning,Semnopithecus schistaceus,7.1,2.347659424,-1.216440678
398,Browning,Macaca mulatta,7.1,1.411562418,-1.321555645
399,Browning,Macaca mulatta,7.1,-3.477817985,-0.440858424
400,Browning,Semnopithecus schistaceus,7.1,1.440987064,0.121551505
401,Browning,Macaca mulatta,7.1,-0.01388032,-1.165399456
402,Browning,Semnopithecus schistaceus,7.1,-3.542947685,0.065552375
403,Browning,Semnopithecus schistaceus,7.1,1.85638326,-0.43999307
404,Browning,Muntiacus muntjak,7.1,3.146817367,-0.318207063
405,Browning,Macaca mulatta,7.1,-2.585188892,-0.038445093
406,Browning,Axis axis,7.1,-3.094682639,-0.100365785
407,Browning,Macaca mulatta,7.1,0.422154334,-0.210341628
408,Browning,Macaca mulatta,7.4,0.779246166,0.394446295
409,Browning,Semnopithecus schistaceus,7.45,2.518766788,-0.176480122
410,Browning,Macaca mulatta,7.45,2.225657254,-0.405255159
411,Browning,Axis axis,7.45,-0.261703879,-0.270746836
412,Browning,Rusa unicolor,7.45,0.327079177,0.483804616
413,Browning,Semnopithecus schistaceus,7.45,0.393658966,-0.876555939
414,Browning,Rusa unicolor,7.45,-1.222653114,0.211238635
415,Browning,Rusa unicolor,7.45,0.956447673,-0.73005296
416,Browning,Rusa unicolor,7.45,-0.595323143,0.438300815
417,Browning,Axis axis,7.45,-0.814999625,0.279241979
418,Browning,Rusa unicolor,7.45,1.206256429,-0.832109321
419,Browning,Semnopithecus schistaceus,7.45,-1.456329153,0.982946446
420,Browning,Semnopithecus schistaceus,7.45,1.788692465,0.575500572
421,Browning,Macaca mulatta,7.45,-3.597120918,-0.788528112
422,Browning,Axis axis,7.45,1.147134278,0.476734223
423,Browning,Hystrix indica,7.45,1.054166823,-0.719591419
424,Browning,Axis axis,7.45,0.193428914,-0.381305972
425,Browning,Semnopithecus schistaceus,7.1,1.671141144,0.309799387
426,Browning,Semnopithecus schistaceus,7.1,1.047072231,-1.591700922
