"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"1541","Hiperfire2","Panthera tigris",7.7,1.53854446380679,0.570055279010059,2.68475257657281,0.622093483258535
"1549","Hiperfire2","Rusa unicolor",7.55,1.50820022434196,0.558812253994277,2.63180202687873,0.63613598037317
"1550","Hiperfire2","Hystrix indica",7.55,1.42867633937584,0.529347385413124,2.49303323593094,0.599762167257007
"1552","Hiperfire1","Panthera tigris",7.5,1.35589241461237,0.801867791155822,2.74734562203995,0.638361295569375
"1564","Hiperfire2","Rhinoceros unicornis",7.5,1.85347288064388,0.686741283705732,3.23430112614631,0.621380450950672
"1580","Hiperfire1","Axis axis",7.1,1.23656689346966,0.731299292478458,2.50556504669631,0.627313494310766
"1652","Hiperfire2","Semnopithecus schistaceus",7.1,1.33195395880985,0.493510199724232,2.32425315414229,0.637828582763778
"1665","Hiperfire2","Elephas maximus",7.5,2.17499340505957,0.805869769469316,3.79535287125497,0.616982915624246
"1686","Browning","Axis porcinus",7.6,1.8884009125848,0.694852317412924,3.28910016649794,0.632935531943549
"1690","Browning","Muntiacus muntjak",7.6,1.87231242440306,0.688932428674121,3.26107823068727,0.588892564567232
"1708","Hiperfire2","Rusa unicolor",8.2,1.67548553185075,0.620794130299792,2.92371407162117,0.583949738203426
"1709","Hiperfire2","Muntiacus muntjak",8.2,1.59025621937046,0.589215309766018,2.77498933752098,0.645412456127037
"1711","Hiperfire2","Axis axis",7.08,1.35406946207833,0.501704346648635,2.36284459935496,0.588591775267148
"1713","Hiperfire2","Axis porcinus",7.08,1.33804258285146,0.49576613210609,2.33487777336393,0.603494226277724
"1736","Hiperfire2","Rusa unicolor",7.8,1.57046722877808,0.581883172919248,2.74045764556765,0.607519529707156
"1752","Hiperfire2","Rusa unicolor",7.4,1.47203140211036,0.545411128103067,2.5686876086983,0.59500809772099
"1772","Hiperfire2","Sus scrofa",7.4,1.44164177921657,0.534151287802534,2.51565786514229,0.623957581055812
"1776","Hiperfire2","Semnopithecus schistaceus",7.4,1.39821213078965,0.518059909923175,2.43987334070592,0.616546191120713
"1777","Hiperfire1","Axis axis",7.25,1.26695019105643,0.749267818197289,2.56712850018904,0.62709048075015
"1780","Hiperfire1","Semnopithecus schistaceus",7.25,1.24223059255741,0.734648774950901,2.51704098588262,0.621601324832893
"1783","Hiperfire2","Rusa unicolor",7.1,1.40227509857606,0.519565304333005,2.44696319965359,0.586992475801421
"1784","Browning","Hystrix indica",7.8,1.93011262532604,0.710200477895349,3.36175105350388,0.665464784011588
"1789","Hiperfire1","Hystrix indica",7.3,1.24892125323481,0.738605597218615,2.53059778222024,0.615540480173661
"1790","Hiperfire1","Axis porcinus",7.3,1.26212540338246,0.746414463614558,2.5573523858377,0.61675890189356
"1792","Hiperfire1","Rusa unicolor",7.3,1.3184394970362,0.779718328583796,2.67145751467492,0.64813584583285
"1793","Hiperfire1","Panthera tigris",7.4,1.33412732786637,0.788996030944435,2.70324461878886,0.640802410359979
"1802","Hiperfire1","Axis porcinus",7.4,1.28271584352649,0.758591543874971,2.59907328859956,0.593126844270017
"1813","Hiperfire1","Sus scrofa",7.1,1.25009951931311,0.73930241770925,2.5329852165896,0.621300815008778
"1830","Hiperfire2","Semnopithecus schistaceus",7.55,1.43256716284135,0.530788997604637,2.49982270387922,0.624513017600337
"1838","Hiperfire1","Rusa unicolor",7.5,1.36180870733322,0.805366656202021,2.75933337322887,0.582088296103242
"1840","Hiperfire2","Sus scrofa",7.1,1.37332557251433,0.508839042892696,2.39644641803747,0.602155591340291
"1843","Hiperfire1","Macaca mulatta",7.45,1.27187552526159,0.752180635480752,2.57710834462199,0.653121687740781
"1854","Hiperfire2","Elephas maximus",7.8,2.28318865170019,0.8459578351458,3.98415304832142,0.580718306250051
"1858","Hiperfire2","Rusa unicolor",7.35,1.46016891689968,0.541015888007245,2.54798762993062,0.611770689578367
"1860","Hiperfire2","Semnopithecus schistaceus",7.35,1.38694452420252,0.513885081851639,2.42021142223151,0.598049832597793
"1861","Hiperfire2","Sus scrofa",7.35,1.43002419126257,0.529846786048875,2.49538523089168,0.657416953615946
