camera_type	scientificName	cameraheight	major_axis_mod	minor_axis	profile	profile_se	contact_species	sum_effortday_all	species_traprate	effort_cameraheight	effort_cameraheight_cameratype	contact_species_cameraheight	contact_species_camereaheight_cameratype	hmean_speed	hmean_speed_se	groupsize_speed	activity_level	al_se	groupsize_al	profile_km	profile_se_km	hspeed_kmd	hspeed_se_kmd	group_size	group_size_se
Browning	Semnopithecus schistaceus	7.45	1.828798948	0.672921295	2.637118985	0.505281791	1144	32144	0.035589846	541	113	45	27	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002637119	5.05E-04	13.0829428	2.621661977	1.66	0.06
Browning	Macaca mulatta	7.45	1.81281068	0.667038283	2.614063983	0.503470352	1927	32144	0.05994898	541	113	15	12	0.292909729	0.037345279	175	0.381303675	0.004671368	18150	0.002614064	5.03E-04	25.30740062	3.226632145	1.8	0.05
Browning	Axis axis	7.45	1.865190883	0.686312	2.689595976	0.534871842	23308	32144	0.725111996	541	113	439	287	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.002689596	5.35E-04	7.412033545	0.704786827	2.14	0.02
Browning	Rusa unicolor	7.45	1.925351254	0.708448493	2.776346931	0.53768544	587	32144	0.018261573	541	113	46	27	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.002776347	5.38E-04	15.28829748	1.899096753	1.21	0.03
Browning	Hystrix indica	7.45	1.823831967	0.671093654	2.629956624	0.512643888	117	32144	0.003639871	541	113	1	1	0.307255555	0.064327724	104	0.24988632	0.01686318	624	0.002629957	5.13E-04	26.54687991	5.55791535	1.25	0.04
Browning	Rusa unicolor	7.1	1.819332777	0.669438141	2.623468815	0.537036178	587	32144	0.018261573	4077	1829	55	33	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.002623469	5.37E-04	15.28829748	1.899096753	1.21	0.03
Browning	Semnopithecus schistaceus	6.5	1.568196317	0.577030459	2.261331288	0.528774811	1144	32144	0.035589846	555	139	11	8	0.151422949	0.03034331	127	0.219931391	0.003305612	13533	0.002261331	5.29E-04	13.0829428	2.621661977	1.66	0.06
Browning	Rusa unicolor	6.5	1.650989984	0.607495055	2.380719344	0.523539409	587	32144	0.018261573	555	139	4	1	0.176947887	0.021980286	158	0.410938726	0.005960006	7608	0.002380719	5.24E-04	15.28829748	1.899096753	1.21	0.03
Browning	Hystrix indica	6.5	1.563937127	0.575463256	2.255189558	0.524369197	117	32144	0.003639871	555	139	6	2	0.307255555	0.064327724	104	0.24988632	0.01686318	624	0.00225519	5.24E-04	26.54687991	5.55791535	1.25	0.04
Browning	Axis axis	6.5	1.599402426	0.588512998	2.306330342	0.544883755	23308	32144	0.725111996	555	139	222	67	0.085787425	0.008157255	312	0.406569211	0.002412088	273000	0.00230633	5.45E-04	7.412033545	0.704786827	2.14	0.02
Browning	Axis porcinus	4.5	1.143477763	0.420751848	1.648889246	0.512081299	246	32144	0.007653061	320	271	8	5	0.092323681	0.010836314	193	0.5685436	0.01427842	2643	0.001648889	5.12E-04	7.976766064	0.936257514	1.11	0.03
Browning	Elephas maximus	7.25	2.709985637	0.997161031	3.907785808	0.511337636	233	32144	0.007248631	1516	951	13	12	0.309954549	0.039236546	135	0.330787652	0.004914778	6492	0.003907786	5.11E-04	26.78007308	3.390037568	1.49	0.11
