model	scientificName	height	x_meters	y_meters
Browning	Semnopithecus schistaceus	7.7	-1.3172872	-0.488337072
Browning	Semnopithecus schistaceus	7.7	-2.511406562	1.511910736
Browning	Semnopithecus schistaceus	7.7	-2.340872726	-1.013492061
Browning	Semnopithecus schistaceus	7.7	-2.832000456	-0.769825491
Browning	Semnopithecus schistaceus	7.7	-3.815935525	1.459883315
Browning	Panthera tigris	7.7	-1.103762962	-0.139091327
Browning	Macaca mulatta	7.7	-3.258974717	0.873863236
Browning	Semnopithecus schistaceus	7.7	-3.93182135	0.977690562
Browning	Muntiacus muntjak	7.7	-1.186362214	-0.013613694
Browning	Axis axis	7.7	-0.534443551	-0.808418639
Browning	Axis axis	7.7	-2.704528963	-0.826279424
Browning	Axis axis	7.7	-1.338965164	-0.064839189
Browning	Sus scrofa	7.7	-1.263681742	-0.345097801
Browning	Sus scrofa	7.4	-1.253124057	-0.308446431
Browning	Semnopithecus schistaceus	7.4	-3.667816326	1.391099018
Browning	Axis axis	7.55	-1.548409703	0.447790528
Browning	Semnopithecus schistaceus	7.55	-1.773547605	1.199351171
Browning	Axis axis	7.55	-2.018467669	0.592271059
Browning	Axis axis	7.55	-1.005627978	0.244191343
Browning	Rusa unicolor	7.5	-2.383319027	-0.100938265
Browning	Semnopithecus schistaceus	7.5	-1.293832129	-0.274616959
Browning	Semnopithecus schistaceus	7.5	-0.064600648	1.058030901
Browning	Sus scrofa	7.5	-3.583149545	0.214148792
Browning	Semnopithecus schistaceus	7.5	-1.447837341	0.895273622
Browning	Rusa unicolor	7.5	-2.751792692	0.714407718
Browning	Macaca mulatta	7.1	-2.198267836	1.368303155
Browning	Semnopithecus schistaceus	7.1	-3.239178483	-0.585880884
Browning	Semnopithecus schistaceus	7.1	2.347659424	-1.216440678
Browning	Macaca mulatta	7.1	1.411562418	-1.321555645
Browning	Macaca mulatta	7.1	-3.477817985	-0.440858424
Browning	Semnopithecus schistaceus	7.1	1.440987064	0.121551505
Browning	Macaca mulatta	7.1	-0.01388032	-1.165399456
Browning	Semnopithecus schistaceus	7.1	-3.542947685	0.065552375
Browning	Semnopithecus schistaceus	7.1	1.85638326	-0.43999307
Browning	Muntiacus muntjak	7.1	3.146817367	-0.318207063
Browning	Macaca mulatta	7.1	-2.585188892	-0.038445093
Browning	Axis axis	7.1	-3.094682639	-0.100365785
Browning	Macaca mulatta	7.1	0.422154334	-0.210341628
Browning	Macaca mulatta	7.4	0.779246166	0.394446295
Browning	Semnopithecus schistaceus	7.45	2.518766788	-0.176480122
Browning	Macaca mulatta	7.45	2.225657254	-0.405255159
Browning	Axis axis	7.45	-0.261703879	-0.270746836
Browning	Rusa unicolor	7.45	0.327079177	0.483804616
Browning	Semnopithecus schistaceus	7.45	0.393658966	-0.876555939
Browning	Rusa unicolor	7.45	-1.222653114	0.211238635
Browning	Rusa unicolor	7.45	0.956447673	-0.73005296
Browning	Rusa unicolor	7.45	-0.595323143	0.438300815
Browning	Axis axis	7.45	-0.814999625	0.279241979
Browning	Rusa unicolor	7.45	1.206256429	-0.832109321
Browning	Semnopithecus schistaceus	7.45	-1.456329153	0.982946446
Browning	Semnopithecus schistaceus	7.45	1.788692465	0.575500572
Browning	Macaca mulatta	7.45	-3.597120918	-0.788528112
Browning	Axis axis	7.45	1.147134278	0.476734223
Browning	Hystrix indica	7.45	1.054166823	-0.719591419
Browning	Axis axis	7.45	0.193428914	-0.381305972
Browning	Semnopithecus schistaceus	7.1	1.671141144	0.309799387
Browning	Semnopithecus schistaceus	7.1	1.047072231	-1.591700922
Browning	Semnopithecus schistaceus	7.1	2.98218043	0.828070247
Browning	Macaca mulatta	7.1	0.426001697	-0.078496564
Browning	Hystrix indica	7.1	0.673996278	0.536973376
Browning	Rusa unicolor	7.1	-1.506613032	-0.318207063
Browning	Rusa unicolor	7.1	-3.087443455	0.423966845
Browning	Semnopithecus schistaceus	6.5	0.359579155	-0.282657914
Browning	Rusa unicolor	6.5	-1.943241259	-1.4871571
Browning	Hystrix indica	6.5	-0.862524623	0.70321682
Browning	Axis axis	6.5	3.061469842	0.632682991
Browning	Axis axis	6.5	2.718731344	0.164552358
Browning	Semnopithecus schistaceus	6.5	0.68295313	0.043104815
Browning	Axis axis	6.5	-0.232163536	0.0475197
Browning	Axis axis	6.5	0.875011267	0.64329896
Browning	Axis axis	6.5	0.659402679	-0.062903771
Browning	Axis axis	6.5	-0.378816142	0.228689268
Browning	Semnopithecus schistaceus	6.5	-1.37961043	-0.04042858
Browning	Axis axis	6.5	-1.37961043	-0.04042858
Browning	Axis axis	6.5	0.242230239	0.070922655
Browning	Axis axis	6.5	-2.532842796	0.424336649
Browning	Axis axis	6.5	0.291611399	-0.067393227
Browning	Axis porcinus	4.5	0.413436009	0.574755256
Browning	Axis porcinus	4.5	1.030453754	-0.025555128
Browning	Axis porcinus	4.5	0.714086884	-0.398038134
Browning	Axis porcinus	4.5	0.509230325	0.140257103
Browning	Axis porcinus	4.5	-0.193921665	-0.090957538
Browning	Elephas maximus	7.25	-3.441989338	1.587013724
Browning	Elephas maximus	7.25	-1.135079507	1.649800059
Browning	Axis axis	7.25	0.603321837	-0.243219834
Browning	Axis axis	7.25	2.276574464	0.032955506
Browning	Axis axis	7.25	-1.019044033	-0.791058901
Browning	Axis porcinus	7.5	-0.205854812	0.001525567
Browning	Axis porcinus	7.5	-1.086394829	-0.045888234
Browning	Axis porcinus	7.5	-0.68953128	0.344508043
Browning	Axis porcinus	7.5	-1.088033919	-0.203327477
Browning	Axis porcinus	7.5	-0.973980802	-0.186251414
Browning	Panthera tigris	7.5	-1.277898031	-0.48509166
